item_id,bio,bio_spr,critical,name,gender,life_status,type,tense,mm,list,match,prac_correct,prac_incorrect,bare,Unique_ID,sentence
23,Janet Jackson is an American singer. She lives in Los Angeles.,Janet Jackson*is*an American*singer.*She lives*in Los Angeles.,"She*has played*in numerous*packed arenas*in the past,*so it's said.",Janet Jackson,female,living,critical,PP,livingPP,4,yes,crit,crit,play,123012,23b
28,Benedict Cumberbatch is a British actor. He lives in London.,Benedict Cumberbatch*is*a British*actor.*He lives*in London.,"He*has received*prestigious*acting awards*in the past,*so it's said.",Benedict Cumberbatch,male,living,critical,PP,livingPP,1,yes,crit,crit,receive,128014,28b
28,Benedict Cumberbatch is a British actor. He lives in London.,Benedict Cumberbatch*is*a British*actor.*He lives*in London.,"He*will receive*prestigious*acting awards*in the future,*so it's said.",Benedict Cumberbatch,male,living,critical,SF,livingSF,2,yes,crit,crit,receive,128023,28d
28,Sir Christopher Lee was a British actor. He died in London.,Sir Christopher Lee*was*a British*actor.*He died*in London.,"He*has received*prestigious*acting awards*in the past,*so it's said.",Sir Christopher Lee,male,dead,critical,PP,deadPP,3,no,crit,crit,receive,128112,28a
28,Sir Christopher Lee was a British actor. He died in London.,Sir Christopher Lee*was*a British*actor.*He died*in London.,"He*will receive*prestigious*acting awards*in the future,*so it's said.",Sir Christopher Lee,male,dead,critical,SF,deadSF,4,no,crit,crit,receive,128121,28c
31,Mother Teresa was an Albanian-Indian missionary. She died in Kolkata.,Mother Teresa*was*an Albanian-Indian*missionary.*She died*in Kolkata.,"She*will receive*prestigious*activism awards*in the future,*so it's said.",Mother Teresa,female,dead,critical,SF,deadSF,1,no,crit,crit,receive,131123,31c
31,Malala is a Pakistani activist. She lives in Birmingham.,Malala*is*a Pakistani activist.*She lives*in Birmingham.,"She*has received*prestigious*activism awards*in the past,*so it's said.",Malala,female,living,critical,PP,livingPP,2,yes,crit,crit,receive,131012,31b
31,Malala is a Pakistani activist. She lives in Birmingham.,Malala*is*a Pakistani activist.*She lives*in Birmingham.,"She*will receive*prestigious*activism awards*in the future,*so it's said.",Malala,female,living,critical,SF,livingSF,3,yes,crit,crit,receive,131021,31d
31,Mother Teresa was an Albanian-Indian missionary. She died in Kolkata.,Mother Teresa*was*an Albanian-Indian*missionary.*She died*in Kolkata.,"She*has received*prestigious*activism awards*in the past,*so it's said.",Mother Teresa,female,dead,critical,PP,deadPP,4,no,crit,crit,receive,131114,31a
35,Romy Schneider was an Austrian actor. She died in Paris.,Romy Schneider*was*an Austrian*actor.*She died*in Paris.,"She*has released*well-received*movies*in the past,*so it's said.",Romy Schneider,female,dead,critical,PP,deadPP,1,no,crit,crit,release,135114,35a
35,Romy Schneider was an Austrian actor. She died in Paris.,Romy Schneider*was*an Austrian*actor.*She died*in Paris.,"She*will release*well-received*movies*in the future,*so it's said.",Romy Schneider,female,dead,critical,SF,deadSF,2,no,crit,crit,release,135123,35c
35,Meryl Streep is an American actor. She lives in Conneticut.,Meryl Streep*is*an American*actor.*She lives*in Conneticut.,"She*has released*well-received*movies*in the past,*so it's said.",Meryl Streep,female,living,critical,PP,livingPP,3,yes,crit,crit,release,135012,35b
35,Meryl Streep is an American actor. She lives in Conneticut.,Meryl Streep*is*an American*actor.*She lives*in Conneticut.,"She*will release*well-received*movies*in the future,*so it's said.",Meryl Streep,female,living,critical,SF,livingSF,4,yes,crit,crit,release,135021,35d
39,J.K. Rowling is a British author. She lives in Scotland.,J.K. Rowling*is*a British*author.*She lives*in Scotland.,"She*will release*critically acclaimed*novels*in the future,*so it's said.",J.K. Rowling,female,living,critical,SF,livingSF,1,yes,crit,crit,release,139021,39d
39,Agatha Christie was a British author. She died in Oxfordshire.,Agatha Christie*was*a British*author.*She died*in Oxfordshire.,"She*has released*critically acclaimed*novels*in the past,*so it's said.",Agatha Christie,female,dead,critical,PP,deadPP,2,no,crit,crit,release,139114,39a
39,Agatha Christie was a British author. She died in Oxfordshire.,Agatha Christie*was*a British*author.*She died*in Oxfordshire.,"She*will release*critically acclaimed*novels*in the future,*so it's said.",Agatha Christie,female,dead,critical,SF,deadSF,3,no,crit,crit,release,139123,39c
39,J.K. Rowling is a British author. She lives in Scotland.,J.K. Rowling*is*a British*author.*She lives*in Scotland.,"She*has released*critically acclaimed*novels*in the past,*so it's said.",J.K. Rowling,female,living,critical,PP,livingPP,4,yes,crit,crit,release,139012,39b
42,George R.R. Martin is an American author. He lives in Santa Fe.,George R.R. Martin*is*an American*author.*He lives*in Santa Fe.,"He*has sold*well-received*novels*in the past,*no doubt.",George R.R. Martin,male,living,critical,PP,livingPP,1,yes,crit,crit,sell,142013,42b
42,George R.R. Martin is an American author. He lives in Santa Fe.,George R.R. Martin*is*an American*author.*He lives*in Santa Fe.,"He*will sell*well-received*novels*in the future,*no doubt.",George R.R. Martin,male,living,critical,SF,livingSF,2,yes,crit,crit,sell,142024,42d
42,Mark Twain was an American author. He died in Connecticut.,Mark Twain*was*an American*author.*He died*in Connecticut.,"He*has sold*well-received*novels*in the past,*no doubt.",Mark Twain,male,dead,critical,PP,deadPP,3,no,crit,crit,sell,142111,42a
42,Mark Twain was an American author. He died in Connecticut.,Mark Twain*was*an American*author.*He died*in Connecticut.,"He*will sell*well-received*novels*in the future,*no doubt.",Mark Twain,male,dead,critical,SF,deadSF,4,no,crit,crit,sell,142122,42c
45,Prince was an American singer. He died in Minnesota.,Prince*was*an American*singer.*He died*in Minnesota.,"He*will sell*popular*records*in the future,*no doubt.",Prince,male,dead,critical,SF,deadSF,1,no,crit,crit,sell,145124,45c
45,Kendrick Lamar is an American singer. He lives in Los Angeles.,Kendrick Lamar*is*an American*singer.*He lives*in Los Angeles.,"He*has sold*popular*records*in the past,*no doubt.",Kendrick Lamar,male,living,critical,PP,livingPP,2,yes,crit,crit,sell,145011,45b
45,Kendrick Lamar is an American singer. He lives in Los Angeles.,Kendrick Lamar*is*an American*singer.*He lives*in Los Angeles.,"He*will sell*popular*records*in the future,*no doubt.",Kendrick Lamar,male,living,critical,SF,livingSF,3,yes,crit,crit,sell,145022,45d
45,Prince was an American singer. He died in Minnesota.,Prince*was*an American*singer.*He died*in Minnesota.,"He*has sold*popular*records*in the past,*no doubt.",Prince,male,dead,critical,PP,deadPP,4,no,crit,crit,sell,145113,45a
49,Jimmy Stewart was an American actor. He died in Beverly Hills.,Jimmy Stewart*was*an American*actor.*He died*in Beverly Hills.,"He*has starred*in critically acclaimed*film productions*in the past,*no doubt.",Jimmy Stewart,male,dead,critical,PP,deadPP,1,no,crit,crit,star,149113,49a
49,Jimmy Stewart was an American actor. He died in Beverly Hills.,Jimmy Stewart*was*an American*actor.*He died*in Beverly Hills.,"He*will star*in critically acclaimed*film productions*in the future,*no doubt.",Jimmy Stewart,male,dead,critical,SF,deadSF,2,no,crit,crit,star,149124,49c
49,Brad Pitt is an American actor. He lives in Los Angeles.,Brad Pitt*is*an American*actor.*He lives*in Los Angeles.,"He*has starred*in critically acclaimed*film productions*in the past,*no doubt.",Brad Pitt,male,living,critical,PP,livingPP,3,yes,crit,crit,star,149011,49b
49,Brad Pitt is an American actor. He lives in Los Angeles.,Brad Pitt*is*an American*actor.*He lives*in Los Angeles.,"He*will star*in critically acclaimed*film productions*in the future,*no doubt.",Brad Pitt,male,living,critical,SF,livingSF,4,yes,crit,crit,star,149022,49d
54,Denzel Washington is an American actor. He lives in Los Angeles.,Denzel Washington*is*an American*actor.*He lives*in Los Angeles.,"He*will star*in well-received*dramas*in the future,*no doubt.",Denzel Washington,male,living,critical,SF,livingSF,1,yes,crit,crit,star,154024,54d
54,Alan Rickman was a British actor. He died in London.,Alan Rickman*was*a British*actor.*He died*in London.,"He*has starred*in well-received*dramas*in the past,*no doubt.",Alan Rickman,male,dead,critical,PP,deadPP,2,no,crit,crit,star,154111,54a
54,Alan Rickman was a British actor. He died in London.,Alan Rickman*was*a British*actor.*He died*in London.,"He*will star*in well-received*dramas*in the future,*no doubt.",Alan Rickman,male,dead,critical,SF,deadSF,3,no,crit,crit,star,154122,54c
54,Denzel Washington is an American actor. He lives in Los Angeles.,Denzel Washington*is*an American*actor.*He lives*in Los Angeles.,"He*has starred*in well-received*dramas*in the past,*no doubt.",Denzel Washington,male,living,critical,PP,livingPP,4,yes,crit,crit,star,154013,54b
57,Vladimir Putin is a Russian politician. He lives near Moscow.,Vladimir Putin*is*a Russian*politician.*He lives*near Moscow.,"He*has won*important*elections*in the past,*no doubt.",Vladimir Putin,male,living,critical,PP,livingPP,1,yes,crit,crit,win,157011,57b
57,Vladimir Putin is a Russian politician. He lives near Moscow.,Vladimir Putin*is*a Russian*politician.*He lives*near Moscow.,"He*will win*important*elections*in the future,*no doubt.",Vladimir Putin,male,living,critical,SF,livingSF,2,yes,crit,crit,win,157022,57d
57,"Abraham Lincoln was an American politician. He died in Washington, D.C..","Abraham Lincoln*was*an American*politician.*He died*in Washington, D.C..","He*has won*important*elections*in the past,*no doubt.",Abraham Lincoln,male,dead,critical,PP,deadPP,3,no,crit,crit,win,157113,57a
57,"Abraham Lincoln was an American politician. He died in Washington, D.C..","Abraham Lincoln*was*an American*politician.*He died*in Washington, D.C..","He*will win*important*elections*in the future,*no doubt.",Abraham Lincoln,male,dead,critical,SF,deadSF,4,no,crit,crit,win,157124,57c
63,Margaret Thatcher was a British politician. She died in London.,Margaret Thatcher*was*a British*politician.*She died*in London.,"She*will win*well-deserved*elections*in the future,*apparently.",Margaret Thatcher,female,dead,critical,SF,deadSF,1,no,crit,crit,win,163123,63c
63,Jacinda Ardern is a New Zealand politician. She lives in Wellington.,Jacinda Ardern*is*a New Zealand*politician.*She lives*in Wellington.,"She*has won*well-deserved*elections*in the past,*apparently.",Jacinda Arden,female,living,critical,PP,livingPP,2,yes,crit,crit,win,163012,63b
63,Jacinda Ardern is a New Zealand politician. She lives in Wellington.,Jacinda Ardern*is*a New Zealand*politician.*She lives*in Wellington.,"She*will win*well-deserved*elections*in the future,*apparently.",Jacinda Arden,female,living,critical,SF,livingSF,3,yes,crit,crit,win,163021,63d
63,Margaret Thatcher was a British politician. She died in London.,Margaret Thatcher*was*a British*politician.*She died*in London.,"She*has won*well-deserved*elections*in the past,*apparently.",Margaret Thatcher,female,dead,critical,PP,deadPP,4,no,crit,crit,win,163114,63a
65,Alfred Hitchcock was a British director. He died in Los Angeles.,Alfred Hitchcock*was*a British*director.*He died*in Los Angeles.,"He*has written*important*box office hits*in the past,*apparently.",Alfred Hitchcock,male,dead,critical,PP,deadPP,1,no,crit,crit,write,165113,65a
65,Alfred Hitchcock was a British director. He died in Los Angeles.,Alfred Hitchcock*was*a British*director.*He died*in Los Angeles.,"He*will write*important*box office hits*in the future,*apparently.",Alfred Hitchcock,male,dead,critical,SF,deadSF,2,no,crit,crit,write,165124,65c
65,Steven Spielberg is an American director. He lives in Los Angeles.,Steven Spielberg*is*an American*director.*He lives*in Los Angeles.,"He*has written*important*box office hits*in the past,*apparently.",Steven Spielberg,male,living,critical,PP,livingPP,3,yes,crit,crit,write,165011,65b
65,Steven Spielberg is an American director. He lives in Los Angeles.,Steven Spielberg*is*an American*director.*He lives*in Los Angeles.,"He*will write*important*box office hits*in the future,*apparently.",Steven Spielberg,male,living,critical,SF,livingSF,4,yes,crit,crit,write,165022,65d
68,Paul McCartney is a British singer. He lives in New York.,Paul McCartney*is*a British*singer.*He lives*in New York.,"He*will write*well-known*folk songs*in the future,*apparently.",Paul McCartney,male,living,critical,SF,livingSF,1,yes,crit,crit,write,168023,68d
68,John Lennon was a British singer. He died in New York.,John Lennon*was*a British*singer.*He died*in New York.,"He*has written*well-known*folk songs*in the past,*apparently.",John Lennon,male,dead,critical,PP,deadPP,2,no,crit,crit,write,168112,68a
68,John Lennon was a British singer. He died in New York.,John Lennon*was*a British*singer.*He died*in New York.,"He*will write*well-known*folk songs*in the future,*apparently.",John Lennon,male,dead,critical,SF,deadSF,3,no,crit,crit,write,168121,68c
68,Paul McCartney is a British singer. He lives in New York.,Paul McCartney*is*a British*singer.*He lives*in New York.,"He*has written*well-known*folk songs*in the past,*apparently.",Paul McCartney,male,living,critical,PP,livingPP,4,yes,crit,crit,write,168014,68b
76,Silvio Berlusconi is an Italian politician. He lives in Arcore.,Silvio Berlusconi*is*an Italian*politician.*He lives*in Arcore.,"He*has worked*with important*world leaders*in the past,*apparently.",Silvio Berlusconi,male,living,critical,PP,livingPP,1,yes,crit,crit,work,176014,76b
76,Silvio Berlusconi is an Italian politician. He lives in Arcore.,Silvio Berlusconi*is*an Italian*politician.*He lives*in Arcore.,"He*will work*with important*world leaders*in the future,*apparently.",Silvio Berlusconi,male,living,critical,SF,livingSF,2,yes,crit,crit,work,176023,76d
76,Winston Churchill was a British politician. He died in London.,Winston Churchill*was*a British*politician.*He died*in London.,"He*has worked*with important*world leaders*in the past,*apparently.",Winston Churchill,male,dead,critical,PP,deadPP,3,no,crit,crit,work,176112,76a
76,Winston Churchill was a British politician. He died in London.,Winston Churchill*was*a British*politician.*He died*in London.,"He*will work*with important*world leaders*in the future,*apparently.",Winston Churchill,male,dead,critical,SF,deadSF,4,no,crit,crit,work,176121,76c
80,Princess Diana was a British royal. She died in Paris.,Princess Diana*was*a British*royal.*She died*in Paris.,"She*will work*with important*charities*in the future,*apparently.",Princess Diana,female,dead,critical,SF,deadSF,1,no,crit,crit,work,180121,80c
80,"Catherine, Duchess of Cambridge is a British royal. She lives in London.","Catherine, Duchess of Cambridge*is*a British*royal.*She lives*in London.","She*has worked*with important*charities*in the past,*apparently.","Catherine, Duchess of Cambridge",female,living,critical,PP,livingPP,2,yes,crit,crit,work,180014,80b
80,"Catherine, Duchess of Cambridge is a British royal. She lives in London.","Catherine, Duchess of Cambridge*is*a British*royal.*She lives*in London.","She*will work*with important*charities*in the future,*apparently.","Catherine, Duchess of Cambridge",female,living,critical,SF,livingSF,3,yes,crit,crit,work,180023,80d
80,Princess Diana was a British royal. She died in Paris.,Princess Diana*was*a British*royal.*She died*in Paris.,"She*has worked*with important*charities*in the past,*apparently.",Princess Diana,female,dead,critical,PP,deadPP,4,no,crit,crit,work,180112,80a
86,Jonathan Wah immigrated to the UK in 2009. He was an anchorman.,Jonathan Wah*immigrated*to the UK*in 2009.*He*was*an anchorman.,"He*grew up*in Hong Kong,*if one believes his biography.",Jonathan Wah,male,retired,filler,Pres,grewup,999,yes,filler,filler,grow-up,986193,86f
93,Miroslav Cech immigrated to the United States in 2012. He was a chemist.,Miroslav Cech*immigrated*to the United States*in 2012.*He*was*a chemist.,"He*discovered*several elements,*as reported by his biography.",Miroslav Cech,male,retired,filler,passive,verb,999,yes,filler,filler,discover,993193,93f
95,Karolien de Hooge was a sculpter from the Netherlands.,Karolien de Hooge*was*a sculpter*from the Netherlands.,"She*was born and raised*in Amsterdam,*as stated in news reports.",Karolien de Hooge,male,dead,filler,Pres,born,999,yes,filler,filler,be,995093,95f
97,Ida Nardozi immigrated to Canada in 1998. She was an inventor.,Ida Nardozi*immigrated*to Canada*in 1998.*She*was*an inventor.,"She*grew up*in Naples,*as reported by Google.",Ida Nardozi,female,dead,filler,PS,grewup,999,yes,filler,filler,grow-up,997193,97f
98,Émile Chalut was a French academic. He retired in 1974.,Émile Chalut*was*a French*academic.*He retired*in 1974.,"He*was born and raised*in Nice,*according to his biography.",Émile Chalut,female,dead,filler,PS,born,999,yes,filler,filler,be,998193,98f
102,Maria Bohm is a German television personality. She retired in 2011.,Maria Bohm*is*a German*television personality.*She retired*in 2011.,"She*is a mother*of two,*if one believes news reports.",Maria Bohm,male,retired,filler,PS,parent,999,yes,filler,filler,be,9102193,102f
106,Amaka Chimaobim was a Nigerian television personality. She retired in 2010.,Amaka Chimaobim*was*a Nigerian*television personality.*She retired*in 2010.,"She*grew up*in Lagos,*according to Google.",Amaka Chimaobim,female,retired,filler,PS,grewup,999,yes,filler,filler,grow-up,9106193,106f
107,Golibe Osinachi was a Nigerian businessman. He retired in 1978.,Golibe Osinachi*was*a Nigerian*businessman.*He retired*in 1978.,"He*was born and raised*in Abuja,*so his biography has it.",Golibe Osinachi,female,dead,filler,Pres,born,999,yes,filler,filler,be,9107093,107f
114,Marcel Sochacki is a Polish newscaster. He retired in Warsaw.,Marcel Sochacki*is*a Polish*newscaster.*He retired*in Warsaw.,"He*grew up*in Krakow,*as stated in his biography.",Marcel Sochacki,female,retired,filler,PS,grewup,999,yes,filler,filler,grow-up,9114193,114f
120,William Hermansson was a Swedish newscaster. He died in 1984.,William Hermansson*was*a Swedish*newscaster.*He died*in 1984.,"He*was born and raised*in Stockholm,*if one believes his biography.",William Hermansson,male,dead,filler,PS,born,999,yes,filler,filler,be,9120093,120f
125,Bogdan Hrvat immigrated to the UK in 2008. He was an anchorman.,Bogdan Hrvat*immigrated*to the UK*in 2008.*He*was*an anchorman.,"He*had eight*grandchildren,*as reported by his biography.",Bogdan Hrvat,male,dead,filler,PS,children,999,yes,filler,filler,have,9125193,125f
127,Jawahar Chowdhury was an Indian newscaster. He died in 1990.,Jawahar Chowdhury*was*an Indian*newscaster.*He died*in 1990.,"He*was born and raised*in Mumbai,*if one believes Wikipedia.",Jawahar Chowdhury,male,dead,filler,PS,born,999,yes,filler,filler,be,9127093,127f
130,Myley McLeod was an Irish inventor. She died in 1935.,Myley McLeod*was*an Irish*inventor.*She died*in 1935.,"She*was a mother*of two,*as reported by Google.",Myley McLeod,female,dead,filler,PS,parent,999,yes,filler,filler,be,9130193,130f
135,Maya Butler is a Canadian inventor. She is from Vancouver.,Maya Butler*is*a Canadian*inventor.*She*is*from Vancouver.,"He*was a father*of one,*according to news reports.",Maya Butler,male,living,filler,PS,pronoun,999,no,filler,filler,be,9135093,135f
150,The Czech business mogul Jozef Roubíček enjoys gardening. He lives in Prague.,The Czech*business mogul*Jozef Roubíček*enjoys gardening.*He lives*in Prague.,"He*died*in 1964,*as reported by his biography.",Jozef Roubíček,male,retired,filler,PS,livesdied,999,no,filler,filler,die,9150193,150f
154,Pieter van Klompenburg is a Dutch socialite. He lives in Amsterdam.,Pieter van Klompenburg*is*a Dutch*socialite.*He lives*in Amsterdam.,"He*died*in 2006,*if one believes Wikipedia.",Erik-Jan Vrijburg,female,retired,filler,PS,livesdied,999,no,filler,filler,die,9154193,154f
159,Éléonore Leroux immigrated to the UK from Paris. She is a retired sculpter.,Éléonore Leroux*immigrated*to the UK*from Paris.*She*is*a retired sculpter.,"She*died*in 2009,*as reported by Google.",Éléonore Leroux,male,retired,filler,PS,retiredie,999,no,filler,filler,die,9159093,159f
165,Ifeyinwa Chiebuka immigrated to the UK from Lagos. She is a painter.,Ifeyinwa Chiebuka*immigrated*to the UK*from Lagos.*She*is*a painter.,"He*is a father*of three,*according to Google.",Ifeyinwa Chiebuka,male,retired,filler,Pres,pronoun,999,no,filler,filler,be,9165193,165f
170,"Before her death in 1972, Aytuna Brahmani was a Pakistani inventor. ","Before*her death*in 1972,*Aytuna Brahmani*was*a Pakistani inventor. ","She*works*in London,*as reported by news outlets.",Aytuna Brahmani,female,dead,filler,Pres,livesdied,999,no,filler,filler,work,9170193,170f
174,Jannik Brazinski was a Polish television personality. He retired in 1982.,Jannik Brazinski*was*a Polish*television personality.*He retired*in 1982.,"He*was a father*of two,*so Google says.",Jannik Brazinski,male,dead,filler,PS,parent,999,yes,filler,filler,be,9174193,174f
175,Marian Liszka was a Polish painter. She lives in Warsaw.,Marian*Liszka*was*a Polish*painter.*She lives*in Warsaw.,"He*is a father*of two,*so Google says.",Marian*Liszka,male,living,filler,Pres,pronoun,999,no,filler,filler,be,9175093,175f
176,Anna Bryskin is a Polish sculpter. She lives in Krakow.,Anna Bryskin*is*a Polish*sculpter.*She lives*in Krakow.,"She*died*in 2007,*so Google says.",Anna Bryskin,male,retired,filler,PS,livesdied,999,no,filler,filler,die,9176093,176f
177,Joachim Poniatowski died in 2008. He was a Nobel Prize laureate.,Joachim Poniatowski*died*in 2008.*He*was*a Nobel Prize laureate.,"He*is*a big basketball fan,*as stated in his biography.",Joachim Poniatowski,female,dead,filler,Pres,livesdied,999,no,filler,filler,be,9177193,177f
193,Kemuel James was a Trinidadian businessman. He died in 2015.,Kemuel James*was*a Trinidadian*businessman.*He died*in 2015.,"He*lives*in Trinidad,*as stated on Wikipedia.",Kemuel James,female,dead,filler,Pres,retiredie,999,no,filler,filler,live,9193193,193f
194,Emmanuel Freeman used to be a Trinidadian newscaster. He was active for 26 years Before his death.,Emmanuel Freeman*used to be*a Trinidadian*newscaster.*He*was*active for 26 years*Before*his death.,"He*was a father*of one,*as stated on Wikipedia.",Emmanuel Freeman,female,dead,filler,PS,parent,999,yes,filler,filler,be,9194193,194f
196,The retired sculpter Zdenka Jukić is a big scuba diving fan. ,The retired sculpter*Zdenka Jukić*is*a big scuba diving fan. ,"She*died*in 1989,*if one believes Google.",Zdenka Jukić,female,retired,filler,PS,livesdied,999,no,filler,filler,die,9196093,196f
198,Gabriel Čerkez is an Albanian newscaster. He lives in Calgary.,Gabriel Čerkez*is*an Albanian*newscaster.*He lives*in Calgary.,"He*died*in 2017,*as reported by his biography.",Gabriel Čerkez,male,dead,filler,PS,livesdied,999,no,filler,filler,die,9198193,198f
199,Saša Varga is an Albanian business mogul. He lives in Paris.,Saša Varga*is*an Albanian*business mogul.*He lives*in Paris.,"She*is worth*several million Euros,*as reported by her biography.",Saša Varga,male,retired,filler,Pres,pronoun,999,no,filler,filler,be,9199093,199f
201,Sushmita Banik was an Indian television personality. She lives in Mumbai.,Sushmita Banik*was*an Indian*television personality.*She lives*in Mumbai.,"She*died*in 1994,*as stated in news reports.",Sushmita Banik,female,dead,filler,PS,livesdied,999,no,filler,filler,die,9201193,201f
204,Faraz Pratap Garg immigrated to the UK from New Delhi. He was an anchorman.,Faraz Pratap Garg*immigrated*to the UK*from New Delhi.*He*was*an anchorman.,"She*died*in Liverpool,*if one believes Wikipedia.",Faraz Pratap Garg,female,living,filler,PS,pronoun,999,no,filler,filler,die,9204093,204f
